Possession Status,Price,Covered Area,Carpet Area,City,Type of Property,bedroom,Bathroom,Parking,Location,Society,Ownership Type,isPrimeLocationProperty,Maintenance Charges
Ready to Move,2187000.0,595.0,450.0,Thane,Apartment,1,1.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,
Ready to Move,7000000.0,890.0,585.0,Thane,Apartment,2,2.0,1 Covered,"Kalyan West, Thane",N,Freehold,Y,2.0
Ready to Move,6000000.0,,530.0,Thane,Apartment,1,1.0,1 Open,"Kalyan West, Thane",N,Co-operative Society,Y,700.0
Under Construction,8500000.0,1050.0,675.0,Thane,Apartment,2,2.0,1 Covered,"Bhoiwada, Thane",Y,Freehold,Y,2000.0
Under Construction,4900000.0,627.0,483.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,1200.0
Ready to Move,3800000.0,540.0,470.0,Thane,Apartment,1,1.0,,"Kalyan West, Thane",N,Freehold,Y,800.0
Ready to Move,5600000.0,,450.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",N,Power Of Attorney,Y,2000.0
Under Construction,3800000.0,520.0,393.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,Freehold,Y,1500.0
Under Construction,4500000.0,526.0,428.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,2200.0
Under Construction,4650000.0,672.0,419.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Under Construction,3990000.0,587.0,367.0,Thane,Apartment,1,1.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,3.0
Under Construction,6540000.0,,658.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,1200.0
Under Construction,8500000.0,970.0,696.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",Y,Power Of Attorney,Y,2500.0
Under Construction,6500000.0,920.0,620.0,Thane,Apartment,2,2.0,1 Open,"Kalyan West, Thane",N,Freehold,Y,2500.0
Under Construction,4500000.0,625.0,446.0,Thane,Apartment,1,2.0,1 Open,"Kalyan West, Thane",Y,Freehold,Y,0.0
Under Construction,5499000.0,509.0,509.0,Thane,Apartment,1,2.0,1 Covered,"Kalyan West, Thane",Y,Freehold,Y,0.0
Under Construction,4645000.0,800.0,528.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",N,Freehold,Y,1350.0
Under Construction,3519000.0,610.0,420.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",N,Freehold,Y,1350.0
Under Construction,4300000.0,720.0,460.0,Thane,Apartment,1,2.0,,"Kalyan West, Thane",Y,Freehold,Y,2000.0
Under Construction,8400000.0,1100.0,792.0,Thane,Apartment,2,2.0,,"Kalyan West, Thane",Y,Freehold,Y,3000.0
